,Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA,DEMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,T3,TEMA,TRIMA,WMA
58,04-Jun-2020,197.75,202.5,195.0,200.0,200.15,21999875,4366301845.75,179.1,182.01,191.0,,182.87,179.1,182.45,180.82,179.41,179.41,199.9,,173.63,182.87
59,05-Jun-2020,201.8,202.0,198.65,200.25,200.0,14632889,2931388491.5,179.68,183.19,192.7,,183.49,179.68,182.65,181.82,181.94,181.94,200.72,,174.59,184.23
60,08-Jun-2020,202.9,203.65,197.0,197.4,197.65,19555380,3910759849.85,180.22,184.11,193.86,,183.92,180.22,185.62,182.8,184.17,184.17,200.93,,175.76,185.38
61,09-Jun-2020,198.25,206.2,197.65,198.3,198.5,39914936,8068441918.5,180.84,185.02,195.0,,184.45,180.84,188.1,185.75,186.13,186.13,200.76,,177.13,186.54
62,10-Jun-2020,199.45,203.15,198.3,199.5,199.05,27204677,5456896008.85,181.49,185.96,196.17,,185.03,181.49,193.6,186.58,187.85,187.85,200.55,,178.69,187.75
63,11-Jun-2020,200.0,201.25,193.6,194.65,194.25,19847762,3922656137.85,181.96,186.52,196.59,182.22,185.27,181.96,193.6,192.55,189.37,189.37,199.82,,180.37,188.6
64,12-Jun-2020,188.95,195.2,187.85,193.95,193.9,22562987,4335235500.4,182.35,187.0,196.87,182.29,185.44,182.35,195.75,193.7,200.5,-200.5,198.65,,182.09,189.37
65,15-Jun-2020,193.9,193.95,186.3,187.5,187.2,24463651,4621991313.25,182.57,187.03,196.3,182.4,185.47,182.57,194.0,193.4,200.25,-200.25,196.6,,183.79,189.7
66,16-Jun-2020,190.8,190.95,181.9,184.6,185.0,27637395,5138168584.55,182.94,186.87,195.4,182.5,185.45,182.94,192.55,191.2,199.69,-199.69,193.81,,185.44,189.83
67,17-Jun-2020,184.0,185.0,180.7,180.95,181.2,24028372,4395858443.7,183.17,186.49,194.11,182.53,185.4,183.17,190.72,190.6,198.62,-198.62,190.46,,186.96,189.71
68,18-Jun-2020,181.2,187.5,180.7,187.0,186.6,28887658,5350992635.8,183.9,186.52,193.68,182.58,185.47,183.9,190.72,190.6,197.19,-197.19,187.87,,188.39,189.95
69,19-Jun-2020,187.1,187.95,183.6,184.5,184.05,30531484,5638956798.15,184.68,186.39,192.96,182.61,185.42,184.68,190.6,190.48,195.87,-195.87,185.97,,189.66,189.99
70,22-Jun-2020,186.5,187.5,183.15,184.95,185.0,31396392,5807042271.65,185.56,186.3,192.36,182.63,185.39,185.56,190.6,190.48,194.66,-194.66,184.73,,190.72,190.01
71,23-Jun-2020,185.4,187.5,184.75,186.0,185.85,26547403,4939039080.0,186.46,186.28,191.93,182.67,185.43,186.46,190.6,190.48,193.54,-193.54,184.15,,191.55,190.04
72,24-Jun-2020,187.4,194.7,186.15,192.1,191.85,54653037,10513509538.4,187.34,186.66,192.29,182.76,185.83,187.34,190.6,190.48,192.51,-192.51,184.76,,192.19,190.4
73,25-Jun-2020,192.25,203.5,191.65,202.5,202.1,75575878,14991285884.35,188.57,187.68,193.91,183.03,187.2,188.57,191.72,191.6,180.7,180.7,187.35,,192.72,191.38
74,26-Jun-2020,206.0,209.4,193.3,195.9,195.2,71957460,14387301617.55,189.62,188.21,194.53,183.42,187.73,189.62,191.72,191.6,181.14,181.14,190.23,,193.08,191.85
75,29-Jun-2020,202.5,203.0,196.2,197.6,197.25,91504651,18171721612.75,190.73,188.81,195.3,183.86,188.36,190.73,191.72,191.6,181.56,181.56,192.89,,193.29,192.37
76,30-Jun-2020,199.4,199.4,194.0,195.25,194.65,41216021,8086601929.9,191.75,189.23,195.68,184.69,188.74,191.75,191.72,191.6,181.98,181.98,194.76,,193.35,192.66
77,01-Jul-2020,194.65,203.85,194.65,203.7,202.9,44298379,8845394570.15,192.84,190.16,197.07,186.3,189.63,192.84,192.32,192.2,182.39,182.39,196.84,,193.3,193.43
78,02-Jul-2020,204.45,206.75,202.55,206.6,205.85,39321517,8048725871.55,193.87,191.22,198.68,188.45,190.57,193.87,193.77,193.65,183.24,183.24,199.36,,193.17,194.32
79,03-Jul-2020,208.0,208.5,206.0,206.85,207.55,37896333,7860890243.55,194.5,192.23,200.15,191.0,191.11,194.5,193.9,193.77,184.65,184.65,201.92,,193.01,195.15
80,06-Jul-2020,200.35,201.95,198.95,200.45,199.8,34710608,6950348407.05,194.95,192.76,200.67,193.01,191.31,194.95,193.9,193.77,186.42,186.42,203.41,,192.89,195.54
81,07-Jul-2020,200.0,200.5,194.0,194.5,194.25,31282844,6116701205.1,195.05,192.87,200.37,194.3,191.33,195.05,195.68,193.77,188.06,188.06,203.18,,192.8,195.51
82,08-Jul-2020,194.25,197.95,194.25,196.4,196.3,21276389,4184987357.55,195.18,193.1,200.33,194.88,191.37,195.18,195.68,195.0,189.56,189.56,202.03,,192.81,195.6
83,09-Jul-2020,196.9,197.0,194.15,196.0,195.45,18769881,3661866245.75,195.35,193.29,200.23,194.98,191.41,195.35,195.9,195.0,190.94,190.94,200.53,,192.9,195.65
