Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA
13-May-2020,173.4,173.6,164.5,165.7,165.4,20018552,3354698652.35,158.72,163.702969731455
14-May-2020,164.5,168.25,161.95,164.25,163.8,14949993,2463446939.65,159.52,164.268646600772
15-May-2020,162.2,165.5,161.15,164.4,164.65,14950688,2439597397.35,159.81,164.112431035938
18-May-2020,166,167.3,163.15,164.8,164.75,20802365,3444644630.05,160.62,164.291620726463
19-May-2020,166.5,171.65,165.1,170.75,170.75,20142194,3403852686.15,161.65,164.444413848201
20-May-2020,171.95,177,171,175.7,175.75,25320952,4437243049.85,163.17,166.546276319173
21-May-2020,175.6,190.45,172.65,188.2,188.95,58382988,10761507970.95,164.47,169.614184826364
22-May-2020,188,191.9,184.6,186.7,186.35,39013806,7305887869.25,166.61,176.059457839963
26-May-2020,190,194.95,187.8,191.6,191.7,53235758,10184300252.55,171.3,179.489639246012
27-May-2020,192.5,193.9,186.9,192.45,192.15,24546312,4678558068.8,176.23,183.559760311365
28-May-2020,192.3,192.9,189,191,190.65,24579385,4672098928.35,180.59,186.423174113593
29-May-2020,190.45,198,189,197.1,197.35,35836696,7004204895.7,184.19,187.832116357517
01-Jun-2020,201,205.25,199,200.5,200.55,28509025,5768484154.2,187.46,191.00474487287
02-Jun-2020,201.9,201.9,196.7,198,197.25,22631743,4508515697.15,190.34,194.186497218264
03-Jun-2020,200,200.9,195.6,197.45,196.7,18979339,3768208344.15,192.12,195.207665016409
04-Jun-2020,197.75,202.5,195,200,200.15,21999875,4366301845.75,193.86,195.705110110429
05-Jun-2020,201.8,202,198.65,200.25,200,14632889,2931388491.5,195.06,197.186740369945
08-Jun-2020,202.9,203.65,197,197.4,197.65,19555380,3910759849.85,196.99,198.124493767514
09-Jun-2020,198.25,206.2,197.65,198.3,198.5,39914936,8068441918.5,196.59,197.96632914671
10-Jun-2020,199.45,203.15,198.3,199.5,199.05,27204677,5456896008.85,196.78,198.144219466718
11-Jun-2020,200,201.25,193.6,194.65,194.25,19847762,3922656137.85,197.32,198.446146371531
12-Jun-2020,188.95,195.2,187.85,193.95,193.9,22562987,4335235500.4,197.04,197.047430634611
15-Jun-2020,193.9,193.95,186.3,187.5,187.2,24463651,4621991313.25,194.88,195.998286879912
16-Jun-2020,190.8,190.95,181.9,184.6,185,27637395,5138168584.55,192.74,193.065524000055
17-Jun-2020,184,185,180.7,180.95,181.2,24028372,4395858443.7,189.59,190.377015462335
18-Jun-2020,181.2,187.5,180.7,187,186.6,28887658,5350992635.8,186.07,187.318009696423
19-Jun-2020,187.1,187.95,183.6,184.5,184.05,30531484,5638956798.15,183.49,187.078673083081
22-Jun-2020,186.5,187.5,183.15,184.95,185,31396392,5807042271.65,182.64,186.069115186809
23-Jun-2020,185.4,187.5,184.75,186,185.85,26547403,4939039080,182.01,185.712743386598
24-Jun-2020,187.4,194.7,186.15,192.1,191.85,54653037,10513509538.4,182.58,185.758495600216
25-Jun-2020,192.25,203.5,191.65,202.5,202.1,75575878,14991285884.35,183.67,187.788997472911
26-Jun-2020,206,209.4,193.3,195.9,195.2,71957460,14387301617.55,185.86,192.559332602674
29-Jun-2020,202.5,203,196.2,197.6,197.25,91504651,18171721612.75,187.8,193.439555244494
30-Jun-2020,199.4,199.4,194,195.25,194.65,41216021,8086601929.9,190.41,194.709703750359
01-Jul-2020,194.65,203.85,194.65,203.7,202.9,44298379,8845394570.15,192.26,194.689802496259
02-Jul-2020,204.45,206.75,202.55,206.6,205.85,39321517,8048725871.55,193.96,197.426535544853
03-Jul-2020,208,208.5,206,206.85,207.55,37896333,7860890243.55,196.14,200.234357591466
06-Jul-2020,200.35,201.95,198.95,200.45,199.8,34710608,6950348407.05,198.68,202.672905548687
07-Jul-2020,200,200.5,194,194.5,194.25,31282844,6116701205.1,199.23,201.715270174264
08-Jul-2020,194.25,197.95,194.25,196.4,196.3,21276389,4184987357.55,199.23,199.226846285158
09-Jul-2020,196.9,197,194.15,196,195.45,18769881,3661866245.75,199.15,198.251230661649
10-Jul-2020,195.15,196.5,194,194.35,194.35,16192017,3155770984.8,197.47,197.317486921017
13-Jul-2020,195.9,198.75,195.1,197.75,197.55,20298006,4001811111.15,195.07,196.328324416179
14-Jul-2020,197.4,199.5,192.75,196.25,195.9,18476313,3631936207.45,194.3,196.735549692231
15-Jul-2020,196.35,200,194.5,198.85,198.7,23777901,4699300380.25,194.05,196.457033072451
16-Jul-2020,198.7,198.85,192,193.85,193.85,22144753,4285660630.3,194.1,197.204688864498
17-Jul-2020,193.3,195.4,193,194.35,194.05,14882855,2890497493.55,193.67,196.086459019353
20-Jul-2020,195,195.35,192.35,192.6,192.7,18918931,3651197208.85,193.47,195.407639210471
21-Jul-2020,192.1,194.2,191.5,192.3,192.25,28010738,5396441590.05,192.92,194.505092626472
22-Jul-2020,193,197.9,192.5,196.95,196.55,32572721,6389059323.95,192.67,193.753394933975
23-Jul-2020,197.65,201.5,196.8,201.2,200.7,31488140,6304293484.2,192.27,194.68559680909
24-Jul-2020,201,201.7,197.3,199.85,199.6,60185503,12014297473.75,193.23,196.690398273687
27-Jul-2020,200.5,200.5,195.15,195.8,196.4,22645709,4467045972.25,194.09,197.660265709765
28-Jul-2020,197,198.65,195.05,195.7,195.4,19287262,3791018159.25,194.65,197.240177055826
29-Jul-2020,193.45,198.2,193.4,196.8,196.7,14831635,2915526687.1,195.36,196.626784581205
30-Jul-2020,198.4,198.4,192.5,193.5,193.35,16315232,3186617962.3,195.54,196.651189725685
31-Jul-2020,193.5,196.95,193.5,194.1,194.15,16653836,3253984491.95,194.68,195.550792930377
03-Aug-2020,194,194,191.9,192.95,192.6,13265435,2556342053.7,193.92,195.083861860199
04-Aug-2020,192.6,195.8,192.6,193.8,193.65,17189317,3343471941.95,193.27,194.255907741208
05-Aug-2020,194.5,194.6,191.7,192.8,192.8,48768468,9403161195.05,192.78,194.053938453745
06-Aug-2020,194.2,195.6,193.1,195.2,195.35,17886231,3487124510.35,192.44,193.635958885567
07-Aug-2020,195.5,197,194.15,196,196.05,20913956,4097567227.6,192.56,194.207306037981
10-Aug-2020,196.4,199.65,196.4,199.45,198.85,16474715,3270481955.35,192.69,194.8215374815
11-Aug-2020,200,207.7,200,203.4,203.05,55143098,11295475191,193.59,196.164358589564
12-Aug-2020,202.5,204.9,200.4,204.3,204.2,21287300,4313268889.1,195.07,198.459572852086
13-Aug-2020,203.5,204.2,197.1,201.3,201.45,22698994,4578464744.8,196.81,200.373048950752
14-Aug-2020,201.6,203.35,195.5,196.55,196.4,28752399,5737507766.65,197.61,200.732032705632
17-Aug-2020,198.05,199.5,196.85,198.65,198.75,11741074,2329154244.6,197.88,199.288021514952
18-Aug-2020,199.9,199.9,197.25,198.8,198.55,12488479,2477157241.65,197.97,199.1086809741
19-Aug-2020,198.6,201.7,198.1,198.6,198.45,15474846,3090948729.05,197.42,198.922453945488
20-Aug-2020,197,197.2,194.55,196,195.8,16910657,3313706063.3,196.96,198.764969265495
21-Aug-2020,198,199.2,196.3,197.2,196.8,17234086,3405908230.15,196.45,197.776645979332
24-Aug-2020,197.25,199,196.35,197.5,196.7,14737758,2908311784.75,196.61,197.451097254445
25-Aug-2020,197.25,198.3,195.1,195.7,195.4,15199285,2980915921,196.51,197.20073145289
26-Aug-2020,196.5,196.55,193.65,195,194.95,22631585,4405659707,196.08,196.600487515211
27-Aug-2020,198.5,198.9,193.9,194.35,194.25,47213462,9213831285.35,195.19,196.050324900108
28-Aug-2020,194.6,196.3,194.05,195.85,195.55,34645794,6753091918.3,195.06,195.450216480051
31-Aug-2020,199,199,190,190.9,191.1,96998374,18688480760.35,194.61,195.483477660019
01-Sep-2020,191.1,192.35,188.25,191.3,190.2,39779316,7560052404.35,193.34,194.022318147781
02-Sep-2020,191.3,193,189.65,192.05,191.35,20585664,3932553157.7,191.97,192.7482118437
03-Sep-2020,191.4,193.25,190,191.45,191.6,15692484,3003365326.1,191.17,192.282141135919
04-Sep-2020,190,190,185.7,187.25,186.7,41389121,7764152125.25,190.39,192.054760711803
07-Sep-2020,187.25,190.5,180.8,190.3,189.1,32663990,6087876417.4,188.72,190.269840117551
08-Sep-2020,189.6,190.55,184.6,188.5,188.15,25591395,4817541879.3,186.88,189.879893333712
09-Sep-2020,185.5,186.25,182.3,184.25,183.8,27830197,5112811204.75,186.15,189.303262107148
10-Sep-2020,184.1,185.7,183.2,185.05,184.9,17785076,3281491700.25,184.68,187.468841037881
11-Sep-2020,184.9,186.5,182.75,184,183.95,19256801,3547205372.55,183.32,186.612560520665
14-Sep-2020,185.8,185.85,183,183.25,183.35,30993032,5695277201.55,182.73,185.725040169606
15-Sep-2020,184,184.2,180.8,181.85,181.8,30772104,5592275810,183.17,184.933359954735
16-Sep-2020,181.85,183.5,180.05,180.6,180.65,50645681,9172976026.3,182.41,183.888906427599
17-Sep-2020,180.8,181.5,177.8,178.35,178.6,33936149,6076484474.1,181.96,182.809270735806
18-Sep-2020,179.55,179.85,177,179.5,179.1,29783208,5316150215.3,180.88,181.406180209919
21-Sep-2020,180,180.6,175.05,175.3,175.75,23892510,4233947396.25,179.73,180.637453319534
22-Sep-2020,175.75,176.75,173.75,174,174.2,18532637,3238895808.2,178.14,179.008301887192
23-Sep-2020,174.95,177.55,171.7,173.1,172.5,61785758,10735994901.75,176.73,177.405534270908
24-Sep-2020,171.7,171.75,166.15,167.4,166.55,31486886,5299393510.9,175.06,175.77035585357
25-Sep-2020,168.9,171.2,167,171.15,170.75,26627778,4513943184.1,172.73,172.696903287689
28-Sep-2020,171,174.8,170.5,173.65,173.3,23194739,4018744553.3,170.73,172.047935395333
29-Sep-2020,174.75,174.75,169,169.5,169.4,25617617,4363345268.6,169.82,172.465290347026
30-Sep-2020,170,172.1,168.7,171.95,171.7,18482053,3156244560.3,168.87,171.443526693665
01-Oct-2020,174.5,174.6,170.1,170.9,170.85,19758300,3387016368.85,168.27,171.529017812875
05-Oct-2020,171.1,172.8,168.75,169.3,169.25,24301177,4136375179.55,169.06,171.302678496649
06-Oct-2020,169.5,171.6,168.1,170.2,169.9,21886300,3714042578.7,169.41,170.618452194254
07-Oct-2020,170,170.9,169,169.55,169.5,16286695,2765408695.3,168.93,170.378968081606
08-Oct-2020,170.1,170.4,166.9,167.1,167.15,25503975,4282231316.75,168.93,170.085978662473
09-Oct-2020,167.5,168.9,166.35,168,167.85,22373477,3746295615.95,168.57,169.107318912583
