,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
144,20081224,127.25,127.25,122.0,127.25,14759,82.36,123.12,105.2,104.22,111.88,111.15,109.12,98.83,98.83,111.88,114.53,110.17,105.38,108.39
145,20081226,133.65,133.65,133.65,133.65,84275,86.3,123.8,105.47,104.35,111.89,116.72,113.82,102.24,102.24,111.89,119.38,115.38,104.98,109.79
146,20081229,139.7,140.35,135.25,140.35,103583,90.79,124.87,106.33,104.5,111.9,120.65,119.18,106.64,106.64,111.9,125.09,121.18,104.95,111.63
147,20081230,146.4,147.4,142.0,147.4,146091,95.8,126.32,107.77,104.9,112.12,124.18,122.7,112.03,112.03,112.12,131.48,127.56,105.3,113.92
148,20081231,149.5,154.8,142.0,149.7,112759,100.69,127.83,109.68,105.61,112.55,125.32,123.85,118.4,118.4,112.55,137.81,133.56,106.01,116.35
149,20090101,151.0,155.9,145.0,150.45,36565,105.26,129.29,111.92,106.82,113.21,125.7,124.22,124.66,124.66,113.21,143.37,138.93,107.02,118.79
150,20090102,151.5,158.0,146.0,158.0,25156,110.4,131.14,114.09,109.58,114.34,129.48,128.0,129.82,129.82,114.34,148.57,144.97,108.34,121.68
151,20090105,163.4,165.9,161.5,165.9,12927,116.08,133.38,116.66,114.29,115.9,133.43,131.95,135.45,135.45,115.9,153.98,151.63,109.97,125.01
152,20090106,174.2,174.2,166.25,174.2,131218,122.29,136.02,119.69,120.55,117.78,137.57,136.1,141.54,141.54,117.78,159.97,158.9,111.93,128.77
153,20090107,182.95,182.95,169.1,176.25,131949,128.2,138.61,123.08,127.57,119.86,140.9,137.12,148.07,148.07,119.86,165.93,165.55,114.22,132.54
154,20090109,171.0,184.9,167.45,180.75,32709,134.13,141.33,126.71,136.03,122.25,145.8,141.38,153.71,153.71,122.25,171.61,172.08,116.88,136.47
155,20090112,182.0,189.8,176.0,189.35,40341,140.59,144.43,129.91,147.05,125.11,152.35,149.2,159.12,159.12,125.11,177.41,179.24,119.92,140.8
156,20090113,192.0,198.85,189.0,198.85,29199,147.64,147.94,132.82,160.36,128.46,160.0,156.07,165.16,165.16,128.46,183.81,187.09,123.32,145.56
157,20090114,208.8,208.8,205.0,208.8,7210,155.26,151.87,134.96,174.41,132.24,168.02,165.4,171.9,171.9,132.24,191.09,195.62,127.06,150.74
