,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
647,20100409,1160.0,1199.85,1157.5,1183.45,2559419,1185.73,1145.69,1156.23,1122.25,1150.25,1172.72,1149.47,1139.11,1139.11,1150.25,1172.0,1187.52,1152.4,1162.0
648,20100412,1181.3,1188.4,1165.15,1176.9,1434505,1187.05,1147.7,1156.94,1124.27,1153.02,1172.72,1149.47,1143.89,1143.89,1153.02,1172.25,1188.06,1154.9,1163.72
649,20100413,1180.0,1180.0,1153.05,1157.6,965174,1185.74,1148.34,1158.28,1125.08,1155.06,1176.88,1172.88,1148.3,1148.3,1155.06,1170.98,1184.88,1157.11,1164.01
650,20100415,1165.0,1172.95,1142.0,1148.3,1430556,1183.33,1148.34,1159.51,1125.31,1155.86,1173.62,1170.47,1198.95,-1198.95,1155.86,1167.28,1180.26,1159.07,1163.58
651,20100416,1146.15,1159.7,1131.4,1148.4,1124542,1181.08,1148.34,1161.25,1125.45,1155.64,1173.62,1165.18,1197.81,-1197.81,1155.64,1162.34,1176.1,1160.89,1163.09
652,20100419,1140.0,1164.0,1128.2,1159.3,1225933,1180.33,1149.05,1162.72,1125.67,1155.98,1173.62,1163.58,1195.15,-1195.15,1155.98,1158.69,1174.32,1162.7,1163.33
653,20100420,1160.0,1195.0,1160.0,1187.0,1799670,1183.05,1151.5,1164.71,1127.5,1158.16,1167.65,1157.6,1191.14,-1191.14,1158.16,1159.91,1177.68,1164.46,1165.33
654,20100421,1195.0,1252.0,1195.0,1237.4,5209435,1191.74,1157.04,1167.61,1135.42,1162.63,1192.85,1182.8,1128.2,1128.2,1162.63,1170.51,1189.66,1166.08,1170.44
655,20100422,1221.2,1242.0,1221.1,1224.95,2760682,1197.98,1161.42,1170.92,1139.56,1165.82,1192.85,1182.8,1130.38,1130.38,1165.82,1185.0,1197.78,1167.51,1174.46
656,20100423,1224.5,1240.0,1221.6,1235.9,1144011,1204.93,1166.23,1174.8,1145.63,1169.76,1192.85,1182.8,1132.52,1132.52,1169.76,1200.57,1206.73,1169.05,1178.99
657,20100426,1240.0,1287.0,1237.95,1279.6,3365369,1216.59,1173.54,1179.45,1156.22,1174.7,1213.95,1203.9,1134.62,1134.62,1174.7,1219.7,1222.34,1170.82,1186.07
658,20100427,1273.0,1285.0,1257.2,1276.55,1426990,1226.67,1180.19,1184.66,1164.08,1178.87,1213.95,1203.9,1140.42,1140.42,1178.87,1239.04,1235.27,1172.82,1192.64
659,20100428,1265.0,1269.95,1246.25,1254.1,1220141,1232.9,1184.96,1189.11,1168.17,1182.3,1213.95,1203.9,1145.99,1145.99,1182.3,1253.14,1242.32,1175.05,1197.5
660,20100429,1258.85,1284.9,1258.85,1274.1,2642086,1240.94,1190.71,1193.11,1174.75,1186.68,1213.95,1203.9,1151.33,1151.33,1186.68,1263.85,1251.89,1177.64,1203.42
661,20100430,1286.0,1286.0,1263.1,1270.0,1112086,1247.6,1195.82,1196.54,1180.21,1190.85,1213.95,1203.9,1156.46,1156.46,1190.85,1271.17,1259.29,1180.62,1208.8
662,20100503,1268.0,1282.95,1252.0,1260.5,467664,1252.34,1200.0,1199.43,1184.04,1194.56,1213.95,1203.9,1161.39,1161.39,1194.56,1274.44,1263.79,1183.86,1213.29
663,20100504,1262.1,1290.9,1244.25,1249.45,1667415,1255.13,1203.19,1202.11,1186.25,1197.42,1213.95,1203.9,1166.12,1166.12,1197.42,1273.42,1265.49,1187.26,1216.83
664,20100505,1216.6,1251.6,1216.4,1241.3,1345301,1256.54,1205.64,1205.46,1188.1,1200.26,1214.0,1203.9,1170.66,1170.66,1200.26,1268.81,1265.24,1190.96,1219.66
665,20100506,1224.0,1252.8,1220.0,1233.95,842449,1256.79,1207.47,1208.61,1189.7,1203.18,1219.45,1203.9,1175.01,1175.01,1203.18,1261.71,1263.46,1195.01,1221.83
